Longitude,Latitude,month,year,Census.year,temp,site,long.scaled,long.center
-99.7714,30.4897,2,2018,2017,12.3,llano,-0.5866772,-1.333036643
-97.469,30.179,2,2018,2017,13.3,lostP,0.426622466,0.969363357
-95.551,30.7233,2,2018,2017,14.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,2,2018,2017,7.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,2,2018,2017,5.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,2,2018,2017,3.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,2,2018,2017,4.8,elreno,0.211630768,0.480863357
-97.672833,37.538006,2,2018,2017,2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,2,2018,2017,3.8,psu,1.645407545,3.738663357
-101.8833,33.5667,2,2018,2017,7.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,2,2018,2017,9.3,llela,0.648699869,1.473963357
-95.920129,29.920887,2,2018,2017,15.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,2,2018,2017,7.7,wf,-0.033343141,-0.075761643
-101.2,30.71,2,2019,2018,11.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,2,2019,2018,12.9,llano,-0.5866772,-1.333036643
-97.469,30.179,2,2019,2018,13.2,lostP,0.426622466,0.969363357
-95.551,30.7233,2,2019,2018,13.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,2,2019,2018,8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,2,2019,2018,5.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,2,2019,2018,1.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,2,2019,2018,4.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,2,2019,2018,0.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,2,2019,2018,2.8,psu,1.645407545,3.738663357
-101.8833,33.5667,2,2019,2018,8.1,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,2,2019,2018,10,llela,0.648699869,1.473963357
-95.920129,29.920887,2,2019,2018,14.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,2,2019,2018,8.6,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1979,1978,14.4,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1979,1978,15.2,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1979,1978,16.5,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1979,1978,15.7,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1979,1978,12.2,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1979,1978,8.9,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1979,1978,9.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1979,1978,10.4,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1979,1978,7.8,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1979,1978,8.5,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1979,1978,10.8,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1979,1978,14,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1979,1978,16.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1979,1978,12.7,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1980,1979,13.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1980,1979,14.7,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1980,1979,15.9,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1980,1979,14.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1980,1979,10.9,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1980,1979,7.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1980,1979,6.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1980,1979,8.6,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1980,1979,5.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1980,1979,6.5,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1980,1979,9.9,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1980,1979,12.3,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1980,1979,15.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1980,1979,11.6,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1981,1980,13.1,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1981,1980,14.2,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1981,1980,15.6,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1981,1980,14.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1981,1980,12.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1981,1980,8.9,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1981,1980,9.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1981,1980,11.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1981,1980,9.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1981,1980,9.7,psu,1.645407545,3.738663357
-101.8833,33.5667,3,1981,1980,10.5,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,3,1981,1980,13.7,llela,0.648699869,1.473963357
-95.920129,29.920887,3,1981,1980,15.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,3,1981,1980,12.9,wf,-0.033343141,-0.075761643
-101.2,30.71,3,1982,1981,15.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,3,1982,1981,16.2,llano,-0.5866772,-1.333036643
-97.469,30.179,3,1982,1981,17.4,lostP,0.426622466,0.969363357
-95.551,30.7233,3,1982,1981,16.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,3,1982,1981,13,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,3,1982,1981,9.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,3,1982,1981,8.6,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,3,1982,1981,10.8,elreno,0.211630768,0.480863357
-97.672833,37.538006,3,1982,1981,8.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,3,1982,1981,10.1,psu,1.645407545,3.738663357
