"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1907-1908","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",340
"1907-1908","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",446
"1907-1908","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",108
"1907-1908","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",431
"1907-1908","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",384
"1907-1908","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",768
"1907-1908","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",214
"1907-1908","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",1035
"1907-1908","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",184
"1907-1908","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",508
"1907-1908","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",190
"1907-1908","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",613
"1907-1908","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",272
"1907-1908","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",280
"1908-1909","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",264
"1908-1909","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",127
"1908-1909","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",478
"1908-1909","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",419
"1908-1909","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",405
"1908-1909","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",443
"1908-1909","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",183
"1908-1909","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",130
"1908-1909","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",317
