"transition","site","Longitude","Latitude","long.scaled","long.center","season","tas"
"1903-1904","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",22.8875
"1903-1904","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",8.1
"1903-1904","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",25.6125
"1903-1904","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.9125
"1903-1904","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",26.4625
"1903-1904","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",13.38125
"1903-1904","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",26.425
"1903-1904","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",13.63125
"1903-1904","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",23.9625
"1903-1904","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",9.09375
"1904-1905","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",23.3625
"1904-1905","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",8.325
"1904-1905","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",24.5625
"1904-1905","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",9.01875
"1904-1905","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",26.475
"1904-1905","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",16.06875
"1904-1905","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",26.125
"1904-1905","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",14.30625
"1904-1905","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",27.6
"1904-1905","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",13.875
"1904-1905","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",27.0125
"1904-1905","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",15.90625
"1904-1905","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",24.4125
"1904-1905","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",10.30625
"1904-1905","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",23.425
"1904-1905","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",6.7625
"1904-1905","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",25.375
"1904-1905","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",13.3
"1904-1905","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",23.4875
"1904-1905","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",7.73125
"1904-1905","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",26.65
"1904-1905","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",15.45
"1904-1905","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",27.075
"1904-1905","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",11.5625
