Longitude,Latitude,month,year,tempmin,site,long.scaled,long.center
-101.8453,35.1992,1,1991,-3.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1991,-3.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1991,-1.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1991,-4.8,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1991,-3.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1991,-1.1,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1991,2.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1991,6.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1991,1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1992,4.2,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1992,5.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1992,6.8,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1992,6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1992,1.1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1992,-0.8,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1992,0.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1992,1.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1992,0.3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1992,0.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1992,-0.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1992,4.2,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1992,7.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1992,2.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1993,4.8,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1993,5.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1993,6.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1993,7.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1993,0.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1993,-2.3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1993,-4.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1993,-1.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1993,-5.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1993,-2.3,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1993,0,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1993,4.2,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1993,8.2,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1993,2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1994,5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1994,5.9,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1994,7.4,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1994,6.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1994,1.2,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1994,-1.8,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1994,-3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1994,-1.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1994,-4.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1994,-3.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1994,0.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1994,3.6,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1994,7.5,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1994,2.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1995,4.4,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1995,5.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1995,7.3,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1995,7.2,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1995,1.8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1995,0,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1995,-1.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1995,-0.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1995,-2.8,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1995,-2.3,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1995,1.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1995,4.5,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1995,8.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1995,2.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1996,2.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1996,3.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1996,5.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1996,5.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1996,-0.9,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1996,-2.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1996,-4.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1996,-2.7,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1996,-5.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1996,-5.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1996,-0.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1996,1.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1996,6.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1996,-0.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1997,2.5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1997,3.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1997,5.5,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1997,6.2,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1997,1,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1997,-2.6,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1997,-3.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1997,-1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1997,-4.8,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1997,-4.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1997,-0.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1997,2.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1997,7.2,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1997,1.5,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1998,5.5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1998,7.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1998,8.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1998,8.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1998,3.3,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1998,-0.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1998,-0.6,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1998,1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1998,-1.5,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1998,0,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1998,2.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1998,5.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1998,9.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1998,4.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1999,4.6,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1999,6.4,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1999,8.5,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1999,8.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1999,2.2,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1999,0.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1999,-1.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1999,-0.2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1999,-3,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1999,-1.9,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1999,2.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1999,5.1,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1999,9.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1999,2.6,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2000,6.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2000,7.4,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2000,8.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2000,8.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2000,2.9,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2000,0.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2000,-0.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2000,0.6,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2000,-2.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2000,0,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2000,2.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2000,5.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2000,10.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2000,3.7,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2001,3.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2001,3.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2001,4.8,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2001,4.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2001,-0.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2001,-4.9,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2001,-2.9,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2001,-2,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2001,-3.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2001,-3.3,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2001,-1.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2001,1.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2001,5.6,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2001,0.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2002,4.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2002,5.7,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2002,7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2002,6.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2002,2.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2002,-1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2002,-0.2,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2002,1.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2002,-1.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2002,-0.5,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2002,0.7,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2002,4.7,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2002,7.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2002,3.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2003,3.3,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2003,4.3,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2003,5.3,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2003,5.3,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2003,0.5,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2003,-1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2003,-2.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2003,-1.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2003,-3.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2003,-3.8,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2003,0.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2003,2.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2003,6.1,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2003,1.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2004,6.2,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2004,7.1,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2004,8.4,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2004,7.8,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2004,2.8,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2004,-0.3,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2004,-1.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2004,0.4,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2004,-3.1,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2004,-2.1,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2004,1.4,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2004,5.2,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2004,8.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2004,3.6,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2005,7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2005,7.6,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2005,8.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2005,8.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2005,2.6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2005,0.8,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2005,-1.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2005,0,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2005,-3.2,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2005,-1.4,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2005,2.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2005,5.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2005,9.9,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2005,3.7,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2006,6.5,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2006,8.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2006,9.6,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2006,9.4,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2006,6,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2006,2.4,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2006,3.7,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2006,4.9,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2006,2.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2006,3.3,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2006,4.1,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2006,8.2,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2006,10.2,Katy,1.108289626,2.518234357
