Longitude,Latitude,month,year,tempmax,site,long.scaled,long.center
-98.514125,33.913161,1,1989,17.1,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1990,18.9,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1990,20.2,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1990,20.5,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1990,18.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1990,17.5,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1990,12.9,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1990,12.6,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1990,14.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1990,11.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1990,11.8,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1990,16.2,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1990,17.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1990,19.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1990,17.2,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1991,14.7,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1991,15,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1991,14.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1991,14,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1991,10.4,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1991,7.7,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1991,6.5,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1991,7.1,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1991,4.8,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1991,4.5,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1991,10.9,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1991,10.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1991,15.5,Katy,1.108289626,2.518234357
