Longitude,Latitude,month,year,Census.year,ppt,site,long.scaled,long.center
-97.469,30.179,1,1992,1991,123.33,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1992,1991,161.27,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1992,1991,57.41,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1992,1991,15.33,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1992,1991,14.32,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1992,1991,20.8,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1992,1991,24.42,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1992,1991,14.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1992,1991,38.16,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1992,1991,85.84,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1992,1991,174.83,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1992,1991,60.21,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1993,1992,20.03,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1993,1992,24.74,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1993,1992,76.94,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1993,1992,184.86,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1993,1992,32.35,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1993,1992,22.45,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1993,1992,41.79,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1993,1992,48.68,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1993,1992,36.41,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1993,1992,79.03,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1993,1992,27.57,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1993,1992,45.93,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1993,1992,155.16,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1993,1992,37.78,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1994,1993,28.88,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1994,1993,43.6,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1994,1993,21.29,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1994,1993,62.67,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1994,1993,3.22,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1994,1993,16.17,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1994,1993,12.8,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1994,1993,4.52,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1994,1993,4.49,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1994,1993,29.09,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1994,1993,7.83,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1994,1993,36.79,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1994,1993,36.94,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1994,1993,10.17,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1995,1994,13.12,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1995,1994,12.82,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1995,1994,37.12,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1995,1994,164.75,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1995,1994,19.37,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1995,1994,12.07,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1995,1994,24.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1995,1994,24.3,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1995,1994,19.33,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1995,1994,46.74,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1995,1994,13.84,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1995,1994,58.24,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1995,1994,123.25,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1995,1994,30.35,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1996,1995,1.71,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1996,1995,3.79,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1996,1995,1.9,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1996,1995,20.93,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1996,1995,10.17,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1996,1995,1.92,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1996,1995,0.77,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1996,1995,0.68,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1996,1995,4.01,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1996,1995,27.96,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1996,1995,6.76,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1996,1995,37.67,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1996,1995,21.58,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1996,1995,21.62,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1997,1996,12.36,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1997,1996,21.66,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1997,1996,38.94,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1997,1996,92.46,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1997,1996,6.93,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1997,1996,16.62,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1997,1996,10.33,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1997,1996,5.75,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1997,1996,11.87,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1997,1996,22.25,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1997,1996,11.32,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1997,1996,11.68,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1997,1996,102.82,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1997,1996,11.87,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1998,1997,12.77,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1998,1997,24.03,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1998,1997,37.95,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1998,1997,125.22,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1998,1997,46.51,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1998,1997,6.96,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1998,1997,23.84,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1998,1997,56.78,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1998,1997,22.39,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1998,1997,75.83,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1998,1997,1.53,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1998,1997,115.69,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1998,1997,89.11,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1998,1997,73.13,wf,-0.033343141,-0.075761643
-101.2,30.71,1,1999,1998,4.18,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,1999,1998,8.8,llano,-0.5866772,-1.333036643
-97.469,30.179,1,1999,1998,15.96,lostP,0.426622466,0.969363357
-95.551,30.7233,1,1999,1998,79.11,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,1999,1998,71.89,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,1999,1998,49.97,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,1999,1998,48.66,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,1999,1998,46.28,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,1999,1998,43.46,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,1999,1998,47.93,psu,1.645407545,3.738663357
-101.8833,33.5667,1,1999,1998,37.7,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,1999,1998,39.98,llela,0.648699869,1.473963357
-95.920129,29.920887,1,1999,1998,40.48,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,1999,1998,72.38,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2000,1999,4.44,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2000,1999,6.7,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2000,1999,88.7,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2000,1999,51.53,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2000,1999,5.34,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2000,1999,4.41,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2000,1999,9.1,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2000,1999,18.46,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2000,1999,18.46,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2000,1999,18.84,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2000,1999,2.98,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2000,1999,42.06,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2000,1999,54.08,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2000,1999,26.16,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2001,2000,42.13,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2001,2000,47.64,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2001,2000,80.21,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2001,2000,136.26,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2001,2000,48.89,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2001,2000,38.4,buffalolake,-1.499412684,-3.406936643
