rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1898-1899,ds,163.6129018
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1898-1899,gs,376.9723525
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1899-1900,ds,222.3548426
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1899-1900,gs,262.1774209
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1900-1901,ds,220.3870934
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1900-1901,gs,328.8778815
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1901-1902,ds,204.4516153
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1901-1902,gs,304.7165951
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1902-1903,ds,180.129036
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1902-1903,gs,427.6451579
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1903-1904,ds,195.2903229
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1903-1904,gs,284.6729712
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1904-1905,ds,83.35483864
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1904-1905,gs,483.0437787
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1905-1906,ds,208.3870996
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1905-1906,gs,200.2488484
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1906-1907,ds,92.06451601
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1906-1907,gs,247.0207421
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1907-1908,ds,83.16129202
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1907-1908,gs,264.7597316
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1908-1909,ds,154.3870966
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1908-1909,gs,387.6797252
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1909-1910,ds,215.2580712
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1909-1910,gs,225.2811066
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1910-1911,ds,221.7096801
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1910-1911,gs,270.4999956
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1911-1912,ds,133.2580657
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1911-1912,gs,411.1646329
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1912-1913,ds,286.2903244
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1912-1913,gs,281.1036906
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1913-1914,ds,325.3225791
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1913-1914,gs,389.9032252
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1914-1915,ds,164.9677409
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1914-1915,gs,284.3110604
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1915-1916,ds,337.6774163
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1915-1916,gs,257.4226894
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1916-1917,ds,156.4838739
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1916-1917,gs,372.297229
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1917-1918,ds,103.4516121
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1917-1918,gs,185.3755752
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1918-1919,ds,120.0000004
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1918-1919,gs,232.6082925
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1919-1920,ds,201.1935482
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1919-1920,gs,373.2469459
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1920-1921,ds,227.8064446
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1920-1921,gs,387.4424
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1921-1922,ds,278.9354873
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1921-1922,gs,492.6497647
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1922-1923,ds,225.0322595
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1922-1923,gs,341.1405545
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1923-1924,ds,233.5483853
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1923-1924,gs,254.6318133
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1924-1925,ds,247.8387034
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1924-1925,gs,183.3133633
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1925-1926,ds,126.935486
