"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1884-1885","gs",13.3136287689209
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1885-1886","ds",26.7289901733399
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1885-1886","gs",14.9786125183105
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1886-1887","ds",27.5340934753418
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1886-1887","gs",13.9565483093262
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1887-1888","ds",26.6169944763184
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1887-1888","gs",13.384538269043
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1888-1889","ds",25.4136100769043
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1888-1889","gs",14.05290184021
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1889-1890","ds",27.671434020996
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1889-1890","gs",14.2680240631103
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1890-1891","ds",24.6494232177734
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1890-1891","gs",13.1800056457521
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1891-1892","ds",24.4579483032228
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1891-1892","gs",14.6634517669679
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1892-1893","ds",24.7055946350097
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1892-1893","gs",13.8445049285888
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1893-1894","ds",26.4445968627931
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1893-1894","gs",14.0431495666505
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1894-1895","ds",28.0800949096679
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1894-1895","gs",14.6090980529784
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1895-1896","ds",26.6295677185058
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1895-1896","gs",14.7753311157228
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1896-1897","ds",26.7203880310058
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1896-1897","gs",15.2314487457275
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1897-1898","ds",26.3917213439942
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1897-1898","gs",15.4687896728515
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1898-1899","ds",26.5379692077638
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1898-1899","gs",15.6119342803955
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1899-1900","ds",25.8044906616211
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1899-1900","gs",14.5140071868895
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1900-1901","ds",25.3365226745606
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1900-1901","gs",13.7232032775879
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1901-1902","ds",26.3900428771973
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1901-1902","gs",14.8418746948242
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1902-1903","ds",26.3420692443848
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1902-1903","gs",14.5639472961427
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1903-1904","ds",25.4145675659182
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1903-1904","gs",13.4630485534668
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1904-1905","ds",26.7262664794924
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1904-1905","gs",13.5410057067872
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1905-1906","ds",24.6992851257324
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1905-1906","gs",16.3611541748047
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1906-1907","ds",27.9977546691894
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1906-1907","gs",14.0646568298341
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1907-1908","ds",27.3215995788574
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1907-1908","gs",13.7288471221924
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1908-1909","ds",26.1377540588379
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1908-1909","gs",14.7177444458009
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1909-1910","ds",25.4197135925291
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1909-1910","gs",14.8701606750487
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1910-1911","ds",26.3422523498537
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1910-1911","gs",13.7316242218017
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1911-1912","ds",26.5190902709961
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1911-1912","gs",13.2778678894043
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1912-1913","ds",26.2414413452149
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1912-1913","gs",13.3297782897948
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1913-1914","ds",24.6057830810547
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1913-1914","gs",13.2153964996339
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1914-1915","ds",26.0716262817384
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1914-1915","gs",13.9277950286865
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1915-1916","ds",26.1198669433595
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1915-1916","gs",13.8724685668946
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1916-1917","ds",27.7734695434569
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1916-1917","gs",14.7249217987061
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1917-1918","ds",27.9109817504884
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1917-1918","gs",16.8758331298829
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1918-1919","ds",26.6010108947756
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1918-1919","gs",15.0648303985596
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1919-1920","ds",27.7265869140625
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1919-1920","gs",14.1793647766114
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1920-1921","ds",24.643212890625
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1920-1921","gs",14.0994354248048
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1921-1922","ds",25.0522666931154
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1921-1922","gs",14.639976119995
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1922-1923","ds",25.9775520324708
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1922-1923","gs",13.8803630828858
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1923-1924","ds",26.0672966003418
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1923-1924","gs",14.5272270202638
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1924-1925","ds",25.1570640563965
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1924-1925","gs",15.1015735626221
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1925-1926","ds",28.1965881347656
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1925-1926","gs",14.6764236450197
